count,density,width,white,light,medium,dark,extra_dark,black,diameter,gauge,needles,feeders,rpm,shrinkage_length,shrinkage_width,stitch_length,tightness_factor
29.525,175,196,0,0,1,0,0,0,34,24,2568,20,13,-5.5,-5.5,0.303154206,17.92385226
29.525,175,98,0,0,1,0,0,0,34,24,2568,20,13,-5.5,-5.5,0.303154206,17.92385226
29.525,175,196,0,0,0,1,0,0,34,24,2568,20,12,-6,-6,0.303154206,17.92385226
29.525,175,196,0,0,0,0,0,1,34,24,2568,20,18,-3,-6,0.303154206,17.92385226
29.525,175,196,0,1,0,0,0,0,34,24,2568,20,18,-4.4,-7.4,0.303154206,17.92385226
29.525,175,98,0,0,0,0,0,1,34,24,2568,20,18,-3,-6,0.303154206,17.92385226
29.525,175,98,0,1,0,0,0,0,34,24,2568,20,18,-4.4,-7.4,0.303154206,17.92385226
19.68333333,150,185,0,0,0,0,0,1,32,24,2400,25,18,-4,-7,0.306041667,14.4966871
19.68333333,150,185,0,0,0,0,0,1,32,24,2400,25,18,-4,-7,0.306041667,14.4966871
19.68333333,150,185,0,0,1,0,0,0,32,24,2400,25,18,-5,-5,0.306041667,14.4966871
19.68333333,150,185,0,0,1,0,0,0,32,24,2400,25,18,-5,-5,0.306041667,14.4966871
19.68333333,150,185,0,0,0,0,0,1,32,24,2400,25,18,-2,-5,0.306041667,14.4966871
19.68333333,150,185,0,0,0,0,0,1,32,24,2400,25,18,-2,-5,0.306041667,14.4966871
19.68333333,150,185,1,0,0,0,0,0,32,24,2400,25,18,-6.7,-6.5,0.306041667,14.4966871
19.68333333,150,185,1,0,0,0,0,0,32,24,2400,25,18,-6.7,-6.5,0.306041667,14.4966871
19.68333333,150,185,0,0,0,0,0,1,32,24,2400,25,15,-5,-8,0.306041667,14.4966871
19.68333333,150,185,0,0,0,0,0,1,32,24,2400,25,15,-5,-8,0.306041667,14.4966871
19.68333333,150,185,1,0,0,0,0,0,32,24,2400,25,15,-7.1,-5.5,0.306041667,14.4966871
